name,xmin,ymin,xmax,ymax,width_m,height_m
Alblasserdam,102515.5,427926.5,107798.5,432892.0,5283.0,4965.5
Albrandswaard,85729.0,427313.0,93424.0,432184.0,7695.0,4871.0
Alphen aan den Rijn,96147.5,452446.5,112160.0,464706.5,16012.5,12260.0
Bodegraven-Reeuwijk,105031.5,447291.0,119856.5,459608.0,14825.0,12317.0
Brielle,68754.5,429599.5,76056.0,438934.5,7301.5,9335.0
Capelle aan den IJssel,96415.5,435538.5,102302.0,442302.5,5886.5,6764.0
Gouda,104931.0,445450.0,111847.5,450518.0,6916.5,5068.0
Hillegom,97251.0,476126.5,102217.5,481564.0,4966.5,5437.5
Kaag en Braassem,96829.0,462887.5,110160.0,472072.5,13331.0,9185.0
Katwijk,84665.0,463376.5,92176.5,471363.5,7511.5,7987.0
Krimpen aan den IJssel,97234.5,435075.0,103896.0,438444.5,6661.5,3369.5
Krimpenerwaard,99096.5,433583.5,120069.5,448477.0,20973.0,14893.5
Lansingerland,88741.0,441574.5,98726.0,453029.5,9985.0,11455.0
Leiden,90000.0,459264.5,96020.5,466745.0,6020.5,7480.5
Leiderdorp,95199.5,460634.0,99274.5,466453.5,4075.0,5819.5
Leidschendam-Voorburg,82780.5,452395.5,93815.5,460585.0,11035.0,8189.5
Lisse,95245.5,470685.5,99509.0,478063.0,4263.5,7377.5
Maassluis,74129.0,435697.0,79802.0,440684.5,5673.0,4987.5
Molenlanden,102033.0,427072.0,130322.0,440476.5,28289.0,13404.5
Nieuwkoop,106600.0,457681.5,121234.5,471460.5,14634.5,13779.0
Noordwijk,86833.0,469128.5,98940.0,483220.0,12107.0,14091.5
Oegstgeest,89772.0,464081.0,94259.5,469010.5,4487.5,4929.5
Ridderkerk,97196.0,427987.0,104130.0,435358.0,6934.0,7371.0
Schiedam,83644.5,434610.0,88433.0,442244.5,4788.5,7634.5
Teylingen,91225.5,465972.0,98669.5,474573.5,7444.0,8601.5
Vlaardingen,77852.5,434378.0,85134.0,440948.5,7281.5,6570.5
Voorschoten,87357.0,457359.5,92255.0,462914.5,4898.0,5555.0
Waddinxveen,100273.0,447201.5,108365.0,454695.0,8092.0,7493.5
Wassenaar,79786.5,456666.0,90536.5,467770.0,10750.0,11104.0
Westland,67215.0,439759.0,81141.5,453355.0,13926.5,13596.0
Westvoorne,56280.5,428930.0,70633.0,439505.0,14352.5,10575.0
Zoetermeer,88239.5,449507.5,98213.5,456582.5,9974.0,7075.0
Zoeterwoude,92137.0,454940.0,97836.0,462586.0,5699.0,7646.0
Zuidplas,97146.5,438515.5,107127.5,453414.5,9981.0,14899.0
